DATE,VEHICLE,Site,PAYLOAD,ORBIT,Operator,Manufacture,Use,Comm'l Price,L,M,
12/29/2010,Ariane 5 ECA,Kourou,"* KoreaSat 6
* Hispasat 1E","GEO
GEO","Korea Telecom
Hispasat","Thales Alenia Space
Space Systems/Loral","Communications
Communications",$220M,S,S,
1/20/2011,Delta IV Heavy,VAFB,NRO L-49,SSO,NRO,Lockheed Martin,Classified,,S,S,
1/20/2011,Zenit 3F,Baikonur,Electro-L 1,GEO,Roshydromet,NPO Lavotchkin,Meteorological,,S,S,
1/22/2011,H IIB,Tanegashima,Kounotori (HTV 2),LEO,JAXA,Mitsubishi Heavy Industries,ISS Cargo,,S,S,
1/28/2011,Soyuz,Baikonur,Progress M-09M,LEO,Roscosmos,RSC Energia,ISS Cargo,,S,S,
2/1/2011,Rockot,Plesetsk,GEO IK-2 No. II,LEO,Russian Space Forces,Reshetnev Company,Navigation,,F,F,
2/6/2011,Minotaur 1,VAFB,RPP (NRO L-66),SSO,NRO,Classified,Classified,,S,S,
2/16/2011,Ariane 5 ES-ATV,Kourou,ATV 2,LEO,ESA,EADS Astrium,ISS Cargo,,S,S,
2/24/2011,Shuttle Discovery,KSC,"STS 133 (ELC-4, PMM)",LEO,NASA,Rockwell International,Crewed,,S,S,
2/26/2011,Soyuz 2,Plesetsk,Glonass K1-1,MEO,Russian Space Forces,Reshetnev Company,Navigation,,S,S,
3/4/2011,Taurus XL,VAFB,Glory,SSO,NASA,Orbital Sciences Corp.,Scientific,,F,F,
3/4/2011,Taurus XL,VAFB,Kysat 1,SSO,Kentucky Space ,Kentucky Space,Test,,F,F,
3/4/2011,Taurus XL,VAFB,Hermes,SSO,Colorado Space Grant Con.,Colorado Space Grant Con.,Communications,,F,F,
3/4/2011,Taurus XL,VAFB,Explorer 1 (Prime),ELI,Montana Space Grant Con. ,Montana Space Grant Con.,Scientific,,F,F,
3/5/2011,Atlas V 501,CCAFS,X-37B OTV 2,LEO,USAF,Boeing,Classified,,S,S,
3/11/2011,"Delta IVMedium+ (4, 2)",CCAFS,NRO L-27,GEO,NRO,Classified,Communications,,S,S,
4/4/2011,Soyuz,Baikonur,Soyuz TMA-21,LEO,Roscosmos,RSC Energia,Crewed,,S,S,
4/10/2011,Long March 3A,Xichang,Beidou 2-IGS 3,GEO,People's Liberation Army,CAST,Navigation,,S,S,
4/14/2011,Atlas V 401,VAFB,NRO L-34,LEO,NRO,Classified,Classified,,S,S,
4/20/2011,PSLV,Satish Dhawan,Resourcesat 2,SSO,ISRO,ISRO,Remote Sensing,,S,S,
4/20/2011,PSLV,Satish Dhawan,Youthsat,SSO,Bauman Moscow StateTechnical University,ISRO,Scientific,,S,S,
4/20/2011,PSLV,Satish Dhawan,X-Sat,SSO,Centre for Research inSatellite Technologies,Centre for Research inSatellite Technologies,Remote Sensing,,S,S,
4/22/2011,Ariane 5 ECA,Kourou,* Yahsat 1A,GEO,Yah Satellite Communications Company,EADS Astrium,Communications,$220M,S,S,
4/22/2011,Ariane 5 ECA,Kourou,* Intelsat New Dawn,GEO,Intelsat,Orbital Sciences Corp.,Communications,,S,S,
4/27/2011,Soyuz,Baikonur,Progress M-10M,LEO,Roscosmos,RSC Energia,ISS Cargo,,S,S,
5/4/2011,Soyuz 2,Baikonur,Meridian 4,ELI,Russian Space Forces,Reshetnev Company,Communications,,S,S,
5/7/2011,Atlas V 401,CCAFS,SBIRS GEO 1,GEO,USAF,Lockheed Martin,Early Warning,,S,S,
5/16/2011,Shuttle Endeavour KSC,,"STS 134 (AMS, ELC-3)",LEO,NASA,Rockwell International,Crewed,,S,S,
5/20/2011,Proton M,Baikonur,* Telstar 14R,GEO,Telesat,Space Systems/Loral,Communications,$85M,S,S,
5/20/2011,Ariane 5 ECA,Kourou,* Insat 4G/GSAT-8,GEO,ISRO,ISRO,Communications,$220M,S,S,
5/20/2011,Ariane 5 ECA,Kourou,* ST 2,GEO,Telecom/Chunghwa,Mitsubishi Electronic Corp.,Communications,,S,S,
6/7/2011,Soyuz,Baikonur,Soyuz TMA-02M,LEO,Roscosmos,RSC Energia,ISS Cargo,,S,S,
6/10/2011,Delta II 7320,VAFB,SAC-D/Aquarius,SSO,NASA/CONAE,INVAP,Remote Sensing,,S,S,
6/15/2011,Safir 2,Semnan Province,Rasad,LEO,Iranian AerospaceOrganization,Iranian Space Agency,Remote Sensing,,S,S,
6/20/2011,Long March 3B,Xichang,* Chinasat 10,GEO,"China Direct BroadcastingSatellite Co., Ltd.",CAST,Communications,,S,S,
6/21/2011,Soyuz,Baikonur,Progress M-11M,LEO,Roscosmos,RSC Energia,ISS Cargo,,S,S,
6/27/2011,Soyuz U,Plesetsk,Cosmos 2472,LEO,Russian Space Forces,RSC Energia,Classified,,S,S,
6/29/2011,Minotaur 1,Wallops FF,ORS 1,LEO,USAF,Goodrich ISR Systems,Classified,,S,S,
7/6/2011,Long March 2C,Jiuquan,Shijian 11-03,SSO,CAST,Dongfanghong Satellite Co.,Scientific,,S,S,
7/8/2011,Shuttle Atlantis,KSC,"STS 135 (MPLM, LMC)",LEO,NASA,Rockwell International,Crewed,,S,S,
7/11/2011,Long March 3C,Xichang,Tianlian 1B,GEO,CAST,CAST,Communications,,S,S,
7/13/2011,Soyuz 2,Baikonur,*Globalstar2ndGen7,LEO,"Globalstar, Inc.",Thales AleniaSpace,Communications,$50M,S,S,
7/13/2011,Soyuz 2,Baikonur,*Globalstar2ndGen8,LEO,"Globalstar, Inc.",Thales AleniaSpace,Communications,,S,S,
7/13/2011,Soyuz 2,Baikonur,*Globalstar2ndGen9,LEO,"Globalstar, Inc.",Thales AleniaSpace,Communications,,S,S,
7/13/2011,Soyuz 2,Baikonur,*Globalstar2ndGen10,LEO,"Globalstar, Inc.",Thales AleniaSpace,Communications,,S,S,
7/13/2011,Soyuz 2,Baikonur,*Globalstar2ndGen11,LEO,"Globalstar, Inc.",Thales AleniaSpace,Communications,,S,S,
7/13/2011,Soyuz 2,Baikonur,*Globalstar2ndGen12,LEO,"Globalstar, Inc.",Thales AleniaSpace,Communications,,S,S,
7/15/2011,Proton M,Baikonur,* SES-3,GEO,SES World Skies,Orbital Sciences Corp.,Communications,$85M,S,S,
7/15/2011,Proton M,Baikonur,KazSat 2,GEO,JSC Kazsat,Khrunichev State Research& Production Space Center,Communications,,S,S,
7/15/2011,PSLV,Satish Dhawan,GSAT 12,GEO,ISRO,ISRO,Communications,,S,S,
7/16/2011,"Delta IVMedium+ (4, 2)",CCAFS,Navstar GPS 2F-02,MEO,USAF,Boeing,Navigation,,S,S,
7/18/2011,Zenit 3F,Baikonur,Spektr R,ELI,Russian Academy ofSciences,NPO Lavotchkin,Scientific,,S,S,
7/26/2011,Long March 3A,Xichang,Beidou 2-IGS 4,GEO,People's Liberation Army,CAST,Navigation,,S,S,
7/29/2011,Long March 2C,Jiuquan,Shijian 11-02,SSO,CAST,Dongfanghong Satellite Co.,Scientific,,S,S,
8/5/2011,Atlas V 551,CCAFS,Juno,EXT,NASA/JPL,Lockheed Martin,Scientific,,S,S,
8/6/2011,Ariane 5 ECA,Kourou,* Astra 1N,GEO,SES Astra,EADS Astrium,Communications,$220M,S,S,
8/6/2011,Ariane 5 ECA,Kourou,* BSAT-3c/JCSAT-110R,GEO,Sky Perfect JCSAT Corp.,Lockheed Martin,Communications,,S,S,
8/11/2011,Long March 3B,Xichang,* Paksat 1R,GEO,SUPARCO,China Great Wall IndustryCorp.,Communications,,S,S,
8/15/2011,Long March 4B,Taiyuan,Hai Yang 2A,SSO,China State OceanicAdministration,Shanghai Institute ofSatellite Engineering,Remote Sensing,,S,S,
8/17/2011,Dnepr M,Dombarovskiy,Sich 2,SSO,National Space Agency of,NPO Lavotchkin,Remote Sensing,$12M,S,S,
8/17/2011,Dnepr M,Dombarovskiy,NX,SSO,NASRDA,Surrey Satellite Tech. Ltd.,Remote Sensing,,S,S,
8/17/2011,Dnepr M,Dombarovskiy,Nigeriasat 2,SSO,NASRDA,Surrey Satellite Tech. Ltd.,Remote Sensing,,S,S,
8/17/2011,Dnepr M,Dombarovskiy,Edusat,SSO,Italian Space Agency,University of Rome,Scientific,,S,S,
8/17/2011,Dnepr M,Dombarovskiy,RASAT,SSO,TUBITAK-UZAY,TUBITAK-UZAY,Scientific,,S,S,
8/17/2011,Dnepr M,Dombarovskiy,BPA 2,SSO,Yuzhnoye,Hartron-Arkos,Development,,S,S,
8/17/2011,Dnepr M,Dombarovskiy,* Aprizesat 5,LEO,"SpaceQuest, Ltd.","SpaceQuest, Ltd.",Communications,,S,S,
8/17/2011,Dnepr M,Dombarovskiy,* Aprizesat 6,LEO,"SpaceQuest, Ltd.","SpaceQuest., Ltd.",Communications,,S,S,
8/17/2011,Proton M,Baikonur,* Express AM4,GEO,Russian SatelliteCommunications Co.,Reshetnev Company,Communications,$85M,F,F,
8/18/2011,Long March 2C,Jiuquan,Shijian 11-04,SSO,CAST,Dongfanghong Satellite Co.,Scientific,,F,F,
8/24/2011,Soyuz,Baikonur,Progress M-12M,LEO,Roscosmos,RSC Energia,ISS Cargo,,F,F,
9/10/2011,Delta II 7920H,CCAFS,GRAIL A,EXT,NASA/JPL,Lockheed Martin,Scientific,,S,S,
9/10/2011,Delta II 7920H,CCAFS,GRAIL B,EXT,NASA/JPL,Lockheed Martin,Scientific,,S,S,
9/18/2011,Long March 3B,Xichang,Chinasat 1A,GEO,People's Liberation Army,CAST,Communications,,S,S,
9/20/2011,Proton M,Baikonur,Cosmos 2473,GEO,Tass-Louch Telecom,Reshetnev Company,Communications,,S,S,
9/21/2011,Ariane 5 ECA,Kourou,* Arabsat 5C,GEO,Arabsat,EADS Astrium,Communications,$220M,S,S,
9/21/2011,Ariane 5 ECA,Kourou,* SES 2,GEO,SES World Skies,Orbital Sciences Corp.,Communications,,S,S,
9/23/2011,H IIA,Tanegashima,IGS-4C (Optical),SSO,Japan Defense Agency,Mitsubishi Electronic Corp.,Classified,,S,S,
9/24/2011,Zenit 3SL,Sea LaunchPlatform,* Atlantic Bird 7,GEO,Eutelsat,EADS Astrium,Communications,$100M,S,S,
9/27/2011,Minotaur IV,Kodiak LC,TacSat-4,HEO,USAF,NRL/APL,Development,,S,S,
9/29/2011,Long March 2F,Jiuquan,Tiangong 1,LEO,China Aerospace Corp.,CAST,Development,,S,S,
9/29/2011,Proton M,Baikonur,* QuetzSat-1,GEO,QuetzSat,Space Systems/Loral,Communications,$85M,S,S,
10/2/2011,Soyuz 2,Plesetsk,Glonass M42,MEO,Russian Space Forces,Reshetnev Company,Navigation,,S,S,
10/6/2011,Zenit 3SLB,Baikonur,* Intelsat 18,GEO,Intelsat,Orbital Sciences Corp.,Communications,$100M,S,S,
10/7/2011,Long March 3B,Xichang,* Eutelsat W3C,GEO,Eutelsat,Thales Alenia Space,Communications,$70M,S,S,
10/12/2011,PSLV,Satish Dhawan,Megha Tropiques,LEO,CNES,ISRO,Scientific,,S,S,
10/12/2011,PSLV,Satish Dhawan,Jugnu,LEO,IIT Kapur,IIT Kapur,Remote Sensing,,S,S,
10/12/2011,PSLV,Satish Dhawan,SRMSAT,SSO,SRM University,SRM University,Scientific,,S,S,
10/12/2011,PSLV,Satish Dhawan,Vesselsat 1,LEO,LuxSpace Sarl,LuxSpace Sarl,Communications,,S,S,
10/19/2011,Proton M,Baikonur,* ViaSat 1,GEO,ViaSat,Space Systems/Loral,Communications,$85M,S,S,
10/21/2011,Soyuz 2,Kourou,Galileo 1,MEO,European Space Agency,OHB System,Navigation,,S,S,
10/21/2011,Soyuz 2,Kourou,Galileo 2,MEO,European Space Agency,OHB Systems,Navigation,,S,S,
10/28/2011,Delta II 7920,VAFB,NPP,SSO,NASA/NOAA,Ball Aerospace,Meteorological,,S,S,
10/28/2011,Delta II 7920,VAFB,RAX 2,LEO,University of Michigan,University of Michigan,Scientific,,S,S,
10/28/2011,Delta II 7920,VAFB,M-Cubed,LEO,University of Michigan,University of Michigan,Remote Sensing,,S,S,
10/28/2011,Delta II 7920,VAFB,AS-1,LEO,Auburn University,Auburn University,Scientific,,S,S,
10/28/2011,Delta II 7920,VAFB,Explorer-1 (PRIME),LEO,Montana State University,Montana State University,Scientific,,S,S,
10/28/2011,Delta II 7920,VAFB,Unit 2,LEO,Montana State University,Montana State University,Scientific,,S,S,
10/28/2011,Delta II 7920,VAFB,DICE 1,LEO,Utah State University,Utah State University,Scientific,,S,S,
10/28/2011,Delta II 7920,VAFB,DICE 2,LEO,Utah State University,Utah State University,Scientific,,S,S,
10/30/2011,Soyuz,Baikonur,Progress M-13M,LEO,Roscosmos,RSC Energia,ISS Cargo,,S,S,
10/31/2011,Long March 2F,Jiuquan,Shenzhou 8,LEO,China Aerospace Corp.,CAST,Development,,S,S,
11/4/2011,Proton M,Baikonur,Glonass M43,MEO,Russian Space Forces,Reshetnev Company,Navigation,,S,S,
11/4/2011,Proton M,Baikonur,Glonass M44,MEO,Russian Space Forces,Reshetnev Company,Navigation,,S,S,
11/4/2011,Proton M,Baikonur,Glonass M45,MEO,Russian Space Forces,Reshetnev Company,Navigation,,S,S,
11/8/2011,Zenit 2M,Baikonur,Phobos-Grunt,EXT,Roscosmos,NPO Lavotchkin,Scientific,,S,F,
11/8/2011,Zenit 2M,Baikonur,Yinghuo,EXT,China National SpaceAcademy,Shanghai Institute ofSatellite Engineering,Scientific,,S,F,
11/9/2011,Long March 4B,Xichang,Yaogan 12,SSO,People's Liberation Army ,Shanghai Academy of Space Remote SensingTechnology,,,S,S,
11/9/2011,Long March 4B,Xichang,Tianxun 1,SSO,Nanjing University of Remote Sensing Aeronautics  & Astronautics,Nanjing University of Remote Sensing Aeronautics  & Astronautics,,,S,S,
11/14/2011,Soyuz,Baikonur,Soyuz TMA-22,LEO,Roscosmos,RSC Energia,Crewed,,S,S,
11/20/2011,Long March 2D,Jiuquan,Chuang Xing 1-03,SSO,Shanghai Academy of China Academy of ScienceSpace Technology,,Communications,,S,S,
11/20/2011,Long March 2D,Jiuquan,Shiyan Wexing 4,SSO,Dongfanghong Satellite Co. Harbin Institute ofTechnology,,Scientific,,S,S,
11/25/2011,Proton M,Baikonur,* Asiasat 7,GEO,Asiasat,Space Systems/Loral,Communications,$85M,S,S,
